,docid,src,content,q1,q2,q3,q4,q5
340,994bf8f6-e37d-4ee0-b109-c68554c762dc,ko_ai2_arc__ARC_Challenge__validation,"지구의 대양 조석은 달에 의해 크게 영향을 받습니다. 달은 지구 주변을 돌면서 조석을 형성하는데, 이는 달의 위상에 따라 변화합니다. 달은 한 달에 여러 번의 위상을 거치는데, 그 중에서 상현달과 하현달이 지구의 대양 조석이 최저일 때입니다. 상현달은 달이 지구와 태양 사이에 위치하여 조석이 가장 작아지는 시기입니다. 반대로 하현달은 달이 지구와 태양의 반대편에 위치하여 조석이 가장 작아지는 시기입니다. 이러한 달의 위상 변화로 인해 지구의 대양 조석은 최저점을 찍게 됩니다. 이러한 현상은 조석의 크기와 높이에 영향을 미치며, 해양 생태계와 날씨 등에도 영향을 줄 수 있습니다.",지구의 대양 조석에 가장 크게 영향을 미치는 천체는 무엇입니까?,달의 어떤 움직임이 조석을 형성합니까?,달의 위상이 조석에 미치는 영향은 무엇입니까?,상현달과 하현달 동안 대양 조석이 왜 가장 낮은가요?,달의 위상 변화는 조석에 어떤 영향을 미칩니까?
341,e5e569a2-aad5-46c8-b71a-6cb021f732e3,ko_ai2_arc__ARC_Challenge__test,"텔레비전은 안전성을 향상시키기 위해 다양한 방법을 사용하고 있습니다. 대표적으로 악천후나 사고와 같은 위험 상황이 발생할 경우, 텔레비전은 사람들에게 경고를 주어 안전을 유지할 수 있도록 도와줍니다. 이를 통해 사람들은 위험에 대한 경각심을 가지고 대비할 수 있습니다. 또한 텔레비전은 안전에 관련된 정보를 제공함으로써 사람들이 안전한 선택을 할 수 있도록 도와줍니다. 예를 들어, 자동차 사고 예방을 위한 운전 요령이나 화재 예방을 위한 안전 수칙 등을 방송하여 사람들에게 유익한 정보를 전달합니다. 이와 함께 텔레비전은 안전 교육 프로그램을 제공하여 사람들이 안전한 생활 방식을 습득할 수 있도록 도와줍니다. 이를 통해 사람들은 안전에 대한 인식을 높이고 안전한 행동을 취할 수 있습니다. 따라서, 텔레비전은 주로 경고와 다양한 방법을 통해 안전성을 향상시키고 사람들의 생활을 보다 안전하게 만들어주고 있습니다.",텔레비전이 안전을 향상시키는 주요 방법은 무엇입니까?,어떤 유형의 위험 상황에 대해 텔레비전이 경고를 제공합니까?,텔레비전은 어떻게 안전에 관련된 정보를 제공합니까?,텔레비전이 제공하는 안전 교육 프로그램의 목적은 무엇입니까?,텔레비전이 안전을 향상시키는 다른 방법은 무엇입니까?
342,a61ee57a-af12-4e5f-bddd-e10c7fe58104,ko_mmlu__high_school_biology__test,"지질학적 또는 기상학적 장애(재앙)의 정기적 발생, 즉 천변지이설은 퀴비에가 다음의 존재를 설명하려고 시도한 것입니다. 이러한 현상은 화석 기록에 의해 확인되었습니다. 화석 기록은 지구의 과거 생물 및 지질 환경에 대한 중요한 정보를 제공합니다. 지질학적 장애는 지구의 지질 구조와 힘들의 상호작용으로 인해 발생할 수 있으며, 기상학적 장애는 대기 조건의 변화로 인해 발생할 수 있습니다. 이러한 장애는 지구의 역사 동안 반복적으로 발생하며, 화석 기록을 통해 이러한 패턴을 확인할 수 있습니다. 퀴비에는 이러한 천변지이설을 통해 지구의 변화와 생물 진화를 이해하려고 노력했습니다.",퀴비에가 천변지이설이라는 개념을 통해 무엇을 설명하려고 했습니까?,천변지이설이 어떤 유형의 장애를 포함합니까?,화석 기록이 천변지이설의 존재를 어떻게 확인하는가?,천변지이설이 지구의 역사 동안 발생한 빈도는 어떻습니까?,퀴비에가 천변지이설을 사용하여 무엇을 이해하려고 했습니까?
343,9c48cd59-1b1f-420b-83b9-2148abd9a437,ko_mmlu__computer_security__test,"메타스플로잇은 취약점을 깨트릴 수 있는 프레임워크입니다. 이 프레임워크는 마우스를 사용하는 것처럼 쉽게 취약점을 공격할 수 있게 해줍니다. 메타스플로잇은 다양한 공격 모듈과 기능을 제공하여 보안 전문가들이 취약점을 분석하고 해결하는 데 도움을 줍니다. 이 프레임워크는 취약한 시스템을 테스트하고 보안 강화를 위한 조치를 취할 수 있도록 도와줍니다. 메타스플로잇은 보안 커뮤니티에서 널리 사용되는 도구로 알려져 있으며, 취약점 분석과 보안 강화에 필수적인 도구입니다.",메타스플로잇이란 무엇입니까?,메타스플로잇이 어떻게 취약점을 공격하는 데 도움을 줍니까?,메타스플로잇이 제공하는 공격 모듈과 기능은 무엇입니까?,보안 전문가들은 메타스플로잇을 어떻게 사용합니까?,메타스플로잇은 보안 커뮤니티에서 어떻게 인식되고 있습니까?
344,d6a8c5b8-1c90-4ade-a81a-977e806c62d0,ko_mmlu__virology__test,"바이러스는 우리가 세상을 바꾸도록 부추겼고, 우리는 지금 천연두를 박멸했다. 이러한 성과는 우리의 과학 기술과 의료진의 노력 덕분이다. 천연두는 예전에는 인류에게 큰 위협이었으며, 많은 사람들이 이로 인해 심각한 질병과 합병증을 겪었다. 그러나 우리는 백신과 예방접종을 통해 천연두를 퇴치했다. 이제 우리는 천연두로 인한 고통과 고생을 더 이상 겪지 않아도 된다. 이는 인류의 건강과 안전을 위한 큰 도약이다. 그러나 바이러스는 여전히 우리에게 도전을 제시하고 있다. 새로운 바이러스가 등장하고 있으며, 우리는 이에 대응하기 위해 더욱 노력해야 한다. 우리는 과학과 의료 기술을 발전시켜 새로운 바이러스에 대처할 수 있을 것이다. 우리는 바이러스와의 전쟁에서 이길 수 있다. 우리는 이미 천연두를 박멸했으니, 다른 바이러스들도 마찬가지로 퇴치할 수 있다. 우리는 더 나은 미래를 위해 계속해서 연구하고 노력해야 한다.",바이러스는 인류에게 어떤 영향을 미쳤는가?,천연두 퇴치는 어떻게 달성되었는가?,천연두 퇴치가 인류에 미친 영향은 무엇인가?,바이러스는 현재 인류에 어떤 도전을 제기하고 있는가?,인류는 바이러스와의 전쟁에서 어떻게 승리할 수 있는가?
345,b2271047-7524-4cd7-ab88-22e45001d903,ko_mmlu__virology__test,"폴리오마 바이러스 계열은 RT가 있는 RNA 게놈으로 구성되어 있습니다. 이러한 바이러스 계열은 폴리오마 바이러스, 코크사키 바이러스, 에코 바이러스 등을 포함하며, 주로 인간에게 감염을 일으킵니다. 이러한 바이러스들은 주로 소아에게 흔히 발생하는 소아마비와 관련이 있으며, 신경계에 영향을 주는 질병을 일으킬 수 있습니다. 폴리오마 바이러스 계열의 게놈 구조는 RNA로 이루어져 있으며, 이 RNA에는 역전사 효소인 RT(Reverse Transcriptase)가 존재합니다. RT는 RNA를 역전사하여 DNA로 변환하는 역할을 수행합니다. 이러한 게놈 구조는 바이러스의 생물학적 특성을 결정하며, 백신 개발 및 치료 전략에 중요한 정보를 제공합니다.",폴리오마 바이러스 계열은 어떤 유형의 게놈으로 구성되어 있습니까?,폴리오마 바이러스 계열에 속하는 특정 바이러스를 3가지 열거하세요.,폴리오마 바이러스는 주로 어떤 연령대에 감염을 일으키는가?,폴리오마 바이러스 게놈의 주요 특징은 무엇입니까?,RT의 역할은 폴리오마 바이러스의 생물학적 특성에 어떻게 영향을 미칩니까?
346,a2384d59-df86-4cd0-844d-968295c6a0e7,ko_mmlu__electrical_engineering__train,"2극 중권 직류기에서 도체 한 개의 저항이 2 Ω이고 도체의 총수는 100이다. 따라서, 총 저항은 50Ω입니다. 이는 도체의 저항이 병렬로 연결되어 있기 때문에 발생하는 현상입니다. 중권 직류기는 전기를 안정적으로 공급하기 위해 사용되며, 도체의 저항은 전기의 흐름을 제한하는 역할을 합니다. 따라서, 도체의 저항이 증가하면 전기의 흐름이 감소하게 되어 총 저항이 증가하게 됩니다. 이러한 원리를 이용하여 중권 직류기에서 도체의 총 저항을 계산할 수 있습니다. 따라서, 이 문제에서 주어진 조건에 따라 도체 한 개의 저항이 2 Ω이고 도체의 총수가 100이므로 총 저항은 50Ω입니다.",도체 한 개의 저항은 몇 Ω입니까?,도체의 총수는 얼마입니까?,중권 직류기의 목적은 무엇입니까?,도체 저항의 증가가 전류 흐름에 미치는 영향은 무엇입니까?,도체의 저항이 병렬로 연결될 때 어떤 현상이 발생합니까?
347,e0458408-2b78-47c0-b28d-55cc5cab214c,ko_ai2_arc__ARC_Challenge__train,"세균은 진화가 가장 빠르게 발생할 수 있는 생물체 중 하나입니다. 세균은 단세포 생물체로서, 매우 짧은 세대간 시간을 가지고 번식합니다. 이러한 빠른 번식 속도는 세균이 짧은 세대간 동안 다양한 유전자 변이를 쌓을 수 있게 합니다. 이러한 변이는 세균의 생존과 번성에 중요한 역할을 합니다. 또한, 세균은 환경 변화에 빠르게 적응할 수 있는 능력을 가지고 있습니다. 이는 세균이 다양한 환경에서 살아남고 번식할 수 있게 해주는데 도움을 줍니다. 따라서, 세균은 진화가 가장 빠르게 발생할 수 있는 생물체 중 하나로 알려져 있습니다.",세균이 진화가 가장 빠르게 발생할 수 있는 생물체 중 하나인 이유는 무엇입니까?,세균이 빠른 번식 속도를 가지고 있는 데 이러한 속도가 진화에 어떤 영향을 미칩니까?,세균의 유전자 변이가 세균의 생존에 어떻게 도움이 됩니까?,세균이 환경 변화에 빠르게 적응할 수 있는 능력은 어떻게 진화에 기여합니까?,세균이 진화가 빠르게 발생하는 생물체라는 것이 어떤 의미를 가지고 있습니까?
348,1b5e0d49-faea-400c-946e-ca95656b3192,ko_mmlu__human_sexuality__test,"자궁외임신은 수정란이 자궁이 아닌 다른 곳에 착상할 때 발생하는 상황입니다. 이는 자궁 외부의 조직이 수정란을 수용하고 발달시키는 것을 의미합니다. 자궁외임신은 주로 난소, 난관, 자궁 경부, 복부 등 여러 부위에서 발생할 수 있습니다. 이러한 상황은 수정란이 자궁에 이동하지 못하고 다른 부위에 착상하게 되면서 발생합니다. 자궁외임신은 임신 초기에는 증상이 미미할 수 있으나, 시간이 지남에 따라 복통, 출혈, 어깨 통증 등의 증상이 나타날 수 있습니다. 이러한 경우 즉시 의료진의 도움을 받아야 합니다. 자궁외임신은 심각한 합병증을 일으킬 수 있으므로 조기에 발견하고 치료하는 것이 중요합니다. 정확한 진단과 적절한 치료를 통해 자궁외임신을 예방하고 관리할 수 있습니다.",자궁외임신이란 무엇인가?,자궁외임신이 발생할 수 있는 부위는 무엇인가?,자궁외임신의 초기 증상은 무엇인가?,자궁외임신의 합병증에는 무엇이 있는가?,자궁외임신을 예방하는 방법은 무엇인가?
349,5ad930b9-64ef-4083-a4d1-b778b8dbaea2,ko_ai2_arc__ARC_Challenge__test,"새끼 바다 동물은 부모가 둘 있습니다. 각 부모는 팔을 여덟 개씩 가지고 있습니다. 따라서 새끼도 8개의 팔을 가지고 있을 가능성이 가장 높습니다. 바다 동물은 종류에 따라 팔의 개수가 다를 수 있지만, 이 문제에서는 새끼 바다 동물의 부모가 팔을 8개씩 가지고 있다고 가정하고 있습니다. 따라서 새끼도 8개의 팔을 가지고 있을 것입니다.",새끼 바다 동물의 부모는 각각 몇 개의 팔을 가지고 있습니까?,부모의 팔 수가 새끼의 팔 수 결정에 어떤 영향을 미칩니까?,바다 동물의 팔 수가 종류에 따라 다를 수 있는 이유는 무엇입니까?,이 문제에서는 팔의 수를 결정할 때 고려되지 않는 요인은 무엇입니까?,이 문서의 가정이 항상 올바르다고 장담할 수 있는 근거는 무엇입니까?
350,eab2a705-18b6-4bbe-84f4-acacb4cd8a1f,ko_mmlu__high_school_computer_science__test,"파이썬3에서 min(l)은 리스트 l의 요소 중 가장 작은 값을 반환합니다. 예를 들어, l = [1,2,3,4]라고 할 때, min(l)은 1을 반환합니다. 이는 리스트 l의 요소들 중에서 가장 작은 값인 1을 찾아주는 함수입니다. 파이썬에서 min() 함수는 숫자뿐만 아니라 문자열, 튜플 등 다양한 자료형에 대해서도 동작합니다. 따라서, min() 함수는 어떤 자료형이든지 가장 작은 값을 찾아주는 유용한 함수입니다.",파이썬3에서 min(l)이 반환하는 값은 무엇인가요?,문서에 나와 있는 예시에서 min(l)의 결과 값은 무엇입니까?,파이썬에서 min() 함수는 숫자 외에도 어떤 자료형에 대해 사용할 수 있습니까?,min() 함수가 찾아주는 것은 어떤 것입니까?,문서에 따르면 min() 함수는 어떤 특징이 있습니까?
351,f1d3a037-d626-4771-8d33-a08c864827d6,ko_ai2_arc__ARC_Challenge__train,"분해자는 생태계에서의 에너지의 흐름에 중요한 역할을 합니다. 이는 분해자가 유기물을 재사용할 수 있는 성분으로 분해하기 때문입니다. 생태계에서 에너지는 식물이 태양에서 받은 빛을 통해 얻게 되는데, 이 에너지는 식물을 통해 동물에게 전달됩니다. 그러나 동물이나 식물이 죽거나 배설물을 생산하면, 이러한 유기물은 분해자에 의해 분해됩니다. 분해자는 유기물을 분해하여 그 성분을 재사용할 수 있게 되는데, 이는 생태계에서 에너지의 순환을 가능하게 합니다. 따라서 분해자는 생태계의 에너지 흐름에 있어서 중요한 역할을 담당하고 있습니다.",분해자가 에너지의 흐름에 어떻게 기여하는가?,생태계에 에너지는 어떻게 공급되는가?,분해자는 유기물을 어떻게 분해하는가?,분해자의 활동이 에너지 순환에 미치는 영향은 무엇인가?,분해자의 생태계에서의 역할이 에너지 흐름에 미치는 중요성을 설명하라.
352,7fd39a6f-9cc3-4e64-86f8-35a412f785c4,ko_ai2_arc__ARC_Challenge__train,"유리 프리즘의 부피를 계산하는 데 가장 유용한 도구는 자입니다. 유리 프리즘의 부피를 계산하기 위해서는 프리즘의 형태와 치수를 알아야 합니다. 자는 프리즘의 형태와 치수를 측정하는 데 사용되는 도구로, 정확한 부피 계산을 위해 필수적입니다. 자를 사용하여 프리즘의 밑면의 길이와 너비, 그리고 높이를 측정한 후, 이 값을 이용하여 부피를 계산할 수 있습니다. 자를 사용하면 정확한 부피 값을 얻을 수 있으며, 이는 유리 프리즘을 다룰 때 매우 유용한 정보입니다.",유리 프리즘의 부피를 계산하는 데 필수적인 도구는 무엇입니까?,프리즘의 부피를 계산하기 위해서는 어떤 정보가 필요합니까?,자를 사용하여 프리즘의 어떤 치수를 측정합니까?,정확한 부피 계산을 위해 왜 자가 필수적인가?,유리 프리즘을 다루는 데 있어서 부피 계산이 왜 유용한가?
353,6ee48afb-4dd4-4d59-ad8d-1ce3111121e6,ko_mmlu__high_school_chemistry__validation,"CO2, CO32-, NO2-, NO3-의 루이스 구조에 대해 생각해 보겠습니다. 먼저, CO2의 루이스 구조는 중앙에 탄소 원자가 있고 주위에 산소 원자가 두 개 있는 선형 구조입니다. CO32-의 루이스 구조는 중앙에 탄소 원자가 있고 주위에 산소 원자가 세 개 있는 삼각형 구조입니다. NO2-의 루이스 구조는 중앙에 질소 원자가 있고 주위에 산소 원자가 두 개 있는 각이 있는 구조입니다. 마지막으로, NO3-의 루이스 구조는 중앙에 질소 원자가 있고 주위에 산소 원자가 세 개 있는 삼각형 구조입니다. 이 중에서 말단 원자 사이의 결합각이 가장 작은 분자는 NO2-입니다. NO2-의 루이스 구조에서 말단의 두 산소 원자 사이의 결합각은 180도로 가장 작습니다.",CO2의 루이스 구조의 모양은 무엇인가?,CO32-의 말단 산소 원자의 수는 몇 개인가?,NO2-의 말단 원자 사이의 결합각은 얼마인가?,NO3-의 루이스 구조는 몇 개의 산소 원자를 포함하는가?,이 문서에서 언급한 분자 중 결합각이 가장 작은 분자는 무엇인가?
354,e231aedb-63c0-4836-866e-c99e4ac4713b,ko_mmlu__high_school_chemistry__test,"금속은 화학 반응 중에 HCl과 반응하여 수소 기체를 생성합니다. 이 반응은 일어나기 위해서는 적절한 온도와 압력이 필요합니다. 만약 STP(Standard Temperature and Pressure)에서 0.0623 그램의 금속이 28.3 mL의 수소를 생성한다면, 이는 1몰의 염산과 반응하는 금속의 질량을 나타냅니다. 따라서, 1몰의 염산과 반응하는 금속의 질량은 24.7 g입니다.",금속과 HCl이 반응하면 어떤 기체가 생성됩니까?,금속과 HCl 반응이 일어나려면 어떤 조건이 필요합니까?,주어진 조건에서 금속 0.0623g이 생성한 수소의 양은 얼마입니까?,1몰의 염산과 반응하는 금속의 질량은 얼마입니까?,문서에서 제공된 수치를 어떻게 사용하여 1몰의 염산과 반응하는 금속의 질량을 계산합니까?
355,e10f0a74-6662-44ed-accd-54b514c21b8a,ko_mmlu__college_computer_science__test,"k-평균 클러스터링 알고리즘은 데이터를 클러스터로 그룹화하는 데 사용되는 일반적인 알고리즘입니다. 이 알고리즘을 사용하여 7개의 점을 3개의 클러스터로 클러스터링하고자 합니다. 첫 번째 반복 후, 클러스터 C1, C2, C3는 다음과 같은 이차원 점을 포함합니다. C1은 (0,6)와 (6,0)와 같은 2개의 점을 포함하고 있습니다. C2는 (2,2), (4,4), (6,6)와 같은 3개의 점을 포함하고 있습니다. C3는 (5,5)와 (7,7)와 같은 2개의 점을 포함하고 있습니다. 이 3개의 클러스터에 대해 계산된 클러스터 중심은 C1: (3,3), C2: (4,4), C3: (6,6)입니다.",처음 반복 후에 각 클러스터에 속하는 데이터 포인트를 나열하세요.,계산된 클러스터 중심의 좌표를 명시하세요.,클러스터 C1과 C3의 중심 사이의 거리를 계산하세요.,k-평균 알고리즘의 초기 클러스터 중심은 어떻게 결정되었는가요?,"이 클러스터링 결과가 최종적인 것으로 가정했을 때, 각 클러스터의 밀집도를 0~10점 척도로 평가하세요."
356,56658a7c-2f09-4754-8515-fe7c1f569d7c,ko_mmlu__college_computer_science__test,"메리가 밥에게 1에서 1,000 사이의 숫자를 적도록 지시합니다. 메리는 밥에게 '예/아니오' 질문을 하여 그 숫자를 파악해야 합니다. 메리는 밥이 항상 진실을 말한다는 것을 알고 있습니다. 메리가 최적의 전략을 사용한다면 최악의 경우에는 10개의 질문 끝에 답을 결정할 수 있습니다. 메리는 첫 번째 질문으로 '숫자는 500보다 큽니까?'라고 물어봅니다. 밥이 '예'라고 대답하면, 메리는 501에서 1,000 사이의 숫자만 남게 됩니다. 만약 밥이 '아니오'라고 대답한다면, 메리는 1에서 500 사이의 숫자만 남게 됩니다. 이런 식으로 메리는 최대한 많은 숫자를 제거하면서 질문을 반복합니다. 최악의 경우에는 10개의 질문을 통해 메리가 답을 결정할 수 있습니다.",숫자는 500보다 큽니까?,숫자는 750보다 작습니까?,숫자는 250보다 큽니까?,숫자는 625보다 작습니까?,숫자는 375보다 큽니까?
357,45c34d2c-699a-4e22-8f75-764808c00c7f,ko_ai2_arc__ARC_Challenge__train,"행성년의 원인을 모델링하기 위해 과학자들은 행성이 태양으로부터 떨어져 있는 거리를 사용합니다. 이 거리는 행성이 태양 주위를 돌면서 받는 태양의 복사 에너지의 양을 결정합니다. 행성이 태양으로부터 멀어질수록 태양의 복사 에너지는 감소하게 되고, 이는 행성의 온도와 기후에 영향을 미칩니다. 따라서, 행성년의 원인을 연구하는 과학자들은 이 거리를 중요한 변수로 고려하여 모델링을 진행합니다. 이를 통해 우리는 행성년의 원인과 행성의 환경 사이의 관계를 이해할 수 있습니다.",행성년의 원인을 모델링하는 과학자들이 사용하는 주요 변수는 무엇입니까?,행성이 태양으로부터 멀어짐에 따라 어떻게 영향을 받습니까?,행성년의 원인을 연구하는 데 거리라는 변수가 왜 중요합니까?,행성년의 원인과 행성의 환경 사이의 어떤 관계가 탐구됩니까?,모델링을 통해 과학자들은 행성년의 원인을 이해하는 데 어떻게 도움을 받을 수 있습니까?
358,b454acd9-929a-4b26-8d84-e3c9c9e1d188,ko_ai2_arc__ARC_Challenge__test,"햇빛에 노출될 때 모자를 쓰는 것은 건강한 습관의 예시입니다. 햇빛은 우리 몸에게 필요한 비타민 D를 제공해주는데, 그러나 장시간 햇빛에 노출되면 피부가 타고 화상을 입을 수 있습니다. 따라서, 햇빛에 노출될 때는 모자를 쓰는 것이 좋습니다. 모자는 피부를 보호해주고, 머리카락도 지키는 역할을 합니다. 또한, 모자를 쓰면 눈에 들어오는 햇빛을 막아 시력을 보호할 수도 있습니다. 따라서, 햇빛에 노출될 때 모자를 쓰는 것은 건강한 습관의 한 예시입니다.",모자를 쓰는 것의 주요 이유는 무엇입니까?,햇빛에 장시간 노출되는 것의 위험성은 무엇입니까?,모자가 어떻게 피부를 보호합니까?,모자가 머리카락에 어떤 역할을 합니까?,모자가 시력에 어떤 영향을 미칩니까?
359,e971f2f2-8252-457f-a51f-bb04e9dfb27d,ko_ai2_arc__ARC_Challenge__test,"전기 회로에서 전류를 멈추게 하는 것은 스위치입니다. 스위치는 회로를 열거나 닫음으로써 전류의 흐름을 제어할 수 있습니다. 스위치가 열려있을 때는 전류가 흐르지 않고, 스위치가 닫혀있을 때는 전류가 흐릅니다. 스위치는 전기 회로에서 중요한 역할을 담당하며, 전기기기의 작동을 제어하는 데에도 사용됩니다. 스위치를 적절히 조작하여 전류를 멈추거나 흐르게 함으로써 전기 회로를 원하는 대로 제어할 수 있습니다.",전기 회로에서 전류를 멈추는 역할을 하는 부품은 무엇인가?,스위치가 열려 있을 때 전류는 어떻게 되는가?,스위치가 닫혀 있을 때 전류는 어떻게 되는가?,전기 회로에서 스위치의 중요한 역할은 무엇인가?,전기 회로를 제어하려면 스위치를 어떻게 조작해야 하는가?
360,08b8588c-f06e-4e1e-abee-78babbbb88c6,ko_mmlu__medical_genetics__test,"α-지중해빈혈은 유전적인 질환으로, 일반적으로 다음과 같은 돌연변이로 이루어져 있습니다: 결실. 이 돌연변이는 헤모글로빈 유전자의 변이로 인해 적혈구의 기능이 저하되는 것을 의미합니다. 이로 인해 적혈구가 충분한 산소를 운반하지 못하고, 적혈구의 수명이 단축되는 문제가 발생합니다. 이는 철분 대사에도 영향을 미치며, 철분 흡수가 감소하고 철분의 이용이 어려워지는 결과를 초래합니다. 따라서, α-지중해빈혈은 철분 결핍성 빈혈과 관련된 증상을 보이며, 증상에는 피로, 두통, 빈혈 등이 포함됩니다. 이러한 돌연변이는 유전적으로 전달되며, 부모로부터 자식에게 상속될 수 있습니다. 따라서, 정확한 진단과 적절한 치료가 필요합니다.",α-지중해빈혈의 주요 돌연변이 유형은 무엇입니까?,α-지중해빈혈이 적혈구에 어떤 영향을 미칩니까?,α-지중해빈혈이 철분 대사에 어떻게 영향을 미칩니까?,α-지중해빈혈의 주요 증상은 무엇입니까?,α-지중해빈혈은 어떻게 유전됩니까?
361,8718f925-0338-49fe-8549-5823486fa9f5,ko_mmlu__medical_genetics__test,"디조지/쉬프린첸 증후군은 22번 염색체의 결실에 의해 발생합니다. 이 증후군은 유전적인 질환으로, 염색체의 결실로 인해 발생하는 것으로 알려져 있습니다. 디조지/쉬프린첸 증후군은 주로 발달 지연, 지적 장애, 얼굴의 특징적인 변화 등의 증상을 보이며, 이는 22번 염색체의 결실로 인한 유전적인 이상으로 인해 발생하는 것입니다. 이 증후군은 유전적으로 전달되며, 가족력이 있는 경우 발생할 확률이 높아집니다. 디조지/쉬프린첸 증후군은 현재까지 치료법이 없으며, 증상을 완화하기 위해 다양한 치료 및 재활 프로그램이 시도되고 있습니다. 디조지/쉬프린첸 증후군에 대한 연구는 계속되고 있으며, 이를 통해 이 질환에 대한 이해와 치료법의 발전이 기대됩니다.",디조지/쉬프린첸 증후군을 유발하는 염색체 결실은 몇 번째 염색체에서 발생합니까?,디조지/쉬프린첸 증후군의 주요 증상은 무엇입니까?,디조지/쉬프린첸 증후군은 유전적으로 전달되는 질환입니까?,디조지/쉬프린첸 증후군을 완치할 수 있는 치료법이 있습니까?,디조지/쉬프린첸 증후군에 대한 연구의 목표는 무엇입니까?
362,e4726eb1-6da6-4961-bda1-a857cce5a122,ko_mmlu__high_school_biology__test,"세포가 긴장과도 환경에 놓이면 그 세포질이 줄어듭니다. 이는 원형질 분리라는 원리를 증명합니다. 원형질 분리는 세포가 외부 환경의 압력이나 긴장에 노출되면 세포질이 수축하여 크기가 줄어들게 됩니다. 이러한 현상은 세포의 생리적 반응으로서, 세포가 외부 환경에 대한 적응력을 가지고 있다는 것을 보여줍니다. 세포의 원형질 분리는 세포 내부의 구조와 기능을 유지하는 중요한 과정입니다. 이러한 원형질 분리는 세포의 생존과 번식에 필수적인 역할을 합니다. 따라서, 세포가 긴장과도 환경에 놓이면 그 세포질이 줄어드는 현상은 세포의 생리적 반응으로서 중요한 의미를 가지고 있습니다.",원형질 분리란 무엇입니까?,원형질 분리가 발생하는 조건은 무엇입니까?,원형질 분리가 세포에 어떤 영향을 미칩니까?,원형질 분리가 세포의 적응력에 어떻게 기여합니까?,원형질 분리가 세포 생존에 필수적인 이유는 무엇입니까?
363,6d725b17-d64c-4b74-9b8e-91d2c3c07bd3,ko_mmlu__nutrition__test,"류신, 메티오닌 및 트레오닌은 식단의 필수 구성 요소입니다. 이들 아미노산은 우리 몸에게 필요한 단백질 합성과 조직 유지에 중요한 역할을 합니다. 류신은 단백질 합성과 염증 반응 조절에 관여하며, 메티오닌은 간 기능과 면역 체계 강화에 도움을 줍니다. 트레오닌은 신경 전달물질 합성과 면역 체계 강화에 중요한 역할을 합니다. 이들 아미노산은 우리 몸에서 스스로 생산할 수 없으므로 식단을 통해 충분히 섭취해야 합니다. 식단에는 고단백 식품인 고기, 생선, 콩, 견과류 등을 포함시키는 것이 좋습니다. 이렇게 식단을 균형있게 조절하여 필수 아미노산을 충분히 섭취하면 건강한 신체와 면역 체계를 유지할 수 있습니다.",필수 아미노산으로 분류되는 세 가지 아미노산은 무엇인가요?,류신이 신체에서 수행하는 특정 역할은 무엇인가요?,메티오닌이 간과 면역 체계에 미치는 영향을 설명해주세요.,트레오닌이 신체에서 중요한 역할로 하는 두 가지 기능은 무엇인가요?,필수 아미노산을 충분히 섭취하려면 식단에 어떤 종류의 식품을 포함시켜야 하나요?
364,4764014a-4240-4c65-aa92-20eb1369a2f7,ko_mmlu__high_school_computer_science__validation,"파이썬 3에서 람다 함수는 간단한 익명 함수를 만들 수 있는 기능입니다. 예를 들어, r = lambda q: q * 2라고 할 때, r(3)은 6이 됩니다. 이는 입력값인 3을 2배로 곱한 결과를 반환하는 함수입니다. 람다 함수는 한 줄로 간결하게 작성할 수 있어서 코드의 가독성을 높일 수 있습니다. 파이썬에서는 람다 함수를 자주 사용하여 간단한 연산이나 필터링 작업을 수행할 수 있습니다.",람다 함수의 정의는 무엇입니까?,위 예시에서 r(3)의 결과는 무엇입니까?,람다 함수를 사용하는 이유는 무엇입니까?,람다 함수는 언제 사용하는 것이 적절합니까?,람다 함수의 한계점은 무엇입니까?
365,bec3008a-9c61-4e59-b6a1-52b34666ca10,ko_ai2_arc__ARC_Challenge__validation,"초콜릿은 더운 날 햇볕 아래에 놓여있을 때, 녹을 수 있습니다. 이 과정에서 초콜릿의 모양이 변하게 됩니다. 녹은 초콜릿은 원래의 고체 모양에서 액체로 변하게 되며, 이는 초콜릿의 특성 중 하나입니다. 따라서, 더운 날 햇볕 아래에 놓인 초콜릿은 모양이 변하게 됩니다.",초콜릿이 녹으면 어떤 형태로 변합니까?,초콜릿이 녹기 위해서는 어떤 조건이 필요합니까?,"""녹는 것""이라는 특성은 초콜릿의 어떤 특징을 가리킵니다.",초콜릿이 녹는 과정에서 모양이 변하는 이유는 무엇입니까?,"위 문서에서 제공하는 정보에 따르면, 뜨거운 날씨에 햇볕 아래에 노출된 초콜릿의 모양이 어떻게 달라집니까?"
